mp-27882, Cs2GeCl6
mp-27904, FeSbS
mp-27985, YClO
mp-27999, K5CuSb2
mp-28020, AlCuCl4
mp-28069, Ca3AsCl3
mp-28075, K2Ti2O5
mp-28084, Rb2PdBr6
mp-28110, Rb2PtI6
mp-28111, K3NO3
mp-28145, Rb2PdCl6
mp-28171, K3IO
mp-28237, RbLiBr2
mp-28243, RbLiCl2
mp-28264, RbH3O2
mp-28266, P2Pd
mp-28270, KCuS
mp-28295, CsIO3
mp-28302, K4CdP2
mp-28377, CsGeI3
mp-28423, Ga2TeSe2
mp-28453, CsAuI3
mp-2853, GaN
mp-28553, Ca2IN
mp-28554, Ca2AsI
mp-2858, ZrO2
mp-28591, Na4HgP2
mp-28599, Na4Br2O
mp-28602, Na3ClO
mp-28603, NaLiSe
mp-28626, LaSO
mp-28627, K4Br2O
mp-28650, CsBr2F
mp-28797, YHSe
mp-288, PtS
mp-28872, RbBrO3
mp-28873, CsBrO3
mp-2894, ScSnAu
mp-28994, KLi2As
mp-29025, Li5Br2N
mp-29055, KSb2
mp-29091, Ti(CuS)4
mp-29138, KAuSe2
mp-29149, Li4NCl
mp-29151, Li5NCl2
mp-29163, Ag2TeS3
mp-2918, YCuO2
mp-2920, LaAlO3
mp-29208, Ca(MgBi)2
mp-29209, Ba(MgBi)2
mp-29266, CsS
mp-29342, Ca3PCl3
mp-29364, Li5SbO5
mp-29396, Cu2PbO2
mp-29398, Cs2HfI6
mp-29403, GaCuI4
mp-29463, LiBeN
mp-29484, K4HgAs2
mp-29506, CsBiO2
mp-29521, RbBiO2
mp-29529, NaSnP
mp-29584, K4BeAs2
mp-29585, K4CdAs2
mp-2961, MgSiP2
mp-2964, NaNO2
mp-29678, AgBiS2
mp-29750, CsMgBr3
mp-29751, CsMgI3
mp-29754, SrLiN
mp-2979, ZnGeN2
mp-30004, Rb4Br2O
mp-30041, RbBiS2
mp-30056, CsCaBr3
mp-30062, Cs2PtBr6
mp-30250, YAgO2
mp-30251, YAuO2
mp-30315, Ca3BN3
mp-30373, RbAu
mp-3038, Al2HgSe4
mp-304, Ca2Ge
mp-3042, K2SiF6
mp-30456, SrLiBi
mp-30459, ScNiBi
mp-30460, YNiBi
mp-3054, Li2CO3
mp-3056, NaTlO2
mp-3070, Na2CO3
mp-3074, KAgO
mp-3078, CdSiAs2
mp-30847, TiSnPt
mp-3098, AlCuO2
mp-30988, KBiO2
mp-31002, Rb2Te5
mp-3104, BaZrN2
mp-31149, Ca3BiN
mp-31212, K2MgF4
mp-31235, BaNaBi
mp-3125, K3Zn2F7
mp-31451, ZrCoBi
mp-31454, TaSbRu
mp-31468, LiCaN
mp-315, PbF2
mp-3159, Al2CdSe4
mp-3163, BaSnO3
mp-3167, Hg2GeSe4
mp-3216, Li2ZrN2
mp-3247, Cs2TiS3
mp-32616, Ga2S3
mp-3277, BAsO4
mp-3288, CsNO2
mp-32880, CuBr
mp-3349, Sr3Ti2O7
mp-33526, LiBiS2
mp-33588, Ca2NF
mp-3359, Ba2SnO4
mp-3395, SrSeO3
mp-34126, Cu4SnP10
mp-34169, Zn(InSe2)2
mp-3419, RbAuF4
mp-3427, LiAlO2
mp-34293, CsTaN2
mp-3432, ScNiSb
mp-3448, KMgF3
mp-34579, Na3HfF7
mp-3481, KSnAs
mp-3486, KSnSb
mp-34932, CaHN
mp-35015, NaBiSe2
mp-35152, Sr2H5Rh
mp-3519, ZrSO
mp-35220, PHN2
mp-3524, LiPN2
mp-35777, Mg(InTe2)2
mp-3589, BPO4
mp-3595, ZnSiAs2
mp-36066, PNO
mp-36111, LiMgP
mp-3614, KTaO3
mp-3637, YOF
mp-3642, ScCuO2
mp-36508, SnHgF6
mp-3654, RbCaF3
mp-36582, NaHS
mp-3666, LiTaO3
mp-3668, CdGeP2
mp-370, CdS
mp-3700, LiYF4
mp-37091, Sr(AlTe2)2
mp-37153, AgAsF6
mp-37216, CdPbF6
mp-3731, LiNbO3
mp-3744, NaNbO2
mp-3748, AlCuO2
mp-3762, VCu3S4
mp-3771, MgTiO3
mp-3772, Cd(GaSe2)2
mp-37906, LiMgN
mp-380, ZnSe
mp-38011, KHS
mp-3810, Hg(AsO3)2
mp-38117, Ba(GaTe2)2
mp-3813, Ba2ZrS4
mp-3821, K2PtF6
mp-3834, BaZrO3
mp-3839, GaCuTe2
mp-384, MgP4
mp-38970, Ga2Te3
mp-3915, BaHgO2
mp-3924, LiNbO2
mp-3953, CaCO3
mp-3970, K2TiF6
mp-3980, LiSbF6
mp-3982, KCuO2
mp-4002, Li2ZrF6
mp-4009, BaPdS2
mp-4035, RbReO4
mp-4043, NbCu3Se4
mp-4047, Cs2SiF6
mp-406, CdTe
mp-4081, TaCu3Se4
mp-4124, CaCN2
mp-4156, Li2ZrO3
mp-4165, TaNO
mp-4175, ZnSnP2
mp-4187, Ge2N2O
mp-4190, CaSnO3
mp-4200, ScPO4
mp-422, BeS
mp-4236, BaZnO2
mp-4280, GaCuO2
mp-4342, KNbO3
mp-4359, Sr2PdO3
mp-4360, NaCdF3
mp-4385, CdCO3
mp-4405, Rb3AuO
mp-4406, CaSO4
mp-441, Rb2Te
mp-4452, Cd(GaS2)2
mp-4482, NaSbO3
mp-4495, KLiTe
mp-4497, Si2N2O
mp-4511, La2SO2
mp-4514, NaNbO3
mp-4524, ZnGeP2
mp-4531, NaNO3
mp-4533, Na2SiO3
mp-4547, La2TeO2
mp-4555, Ca(AsO3)2
mp-4586, LiAlTe2
mp-4609, HfSiO4
mp-4627, CoAsS
mp-463, KF
mp-4636, ScCuO2
mp-4651, SrTiO3
mp-4666, CdSiP2
mp-468, AlF3
mp-4690, K3TaO8
mp-470, GeO2
mp-4763, ZnSiP2
mp-4782, CaSnF6
mp-4809, Ga2HgS4
mp-4820, ZrSiO4
mp-4824, NaZnP
mp-486, NiP2
mp-487, MnP4
